source,filename,size_bytes,sequence_index,inferred_day,inferred_participant_id,timestamp_status,assignment_status,notes
auxiliary/thermal/IMG 0029.bmp,IMG 0029.bmp,230995,29,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0030.bmp,IMG 0030.bmp,230995,30,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0031.bmp,IMG 0031.bmp,230995,31,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0032.bmp,IMG 0032.bmp,230995,32,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0033.bmp,IMG 0033.bmp,230995,33,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0034.bmp,IMG 0034.bmp,230995,34,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0035.bmp,IMG 0035.bmp,230995,35,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0036.bmp,IMG 0036.bmp,230995,36,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0037.bmp,IMG 0037.bmp,230995,37,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0038.bmp,IMG 0038.bmp,230995,38,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0039.bmp,IMG 0039.bmp,230995,39,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0040.bmp,IMG 0040.bmp,230995,40,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
auxiliary/thermal/IMG 0041.bmp,IMG 0041.bmp,230995,41,,,no_timestamp_in_path,unassigned,repository path lacks capture timestamp; do not attach to Event Records without external manifest or image metadata
